ID_Zona	Tipo_Familia	Tipo_Pareja	Tipo_Soltero	Educacion_Superior	Educacion_Media	Educacion_Baja	Poblacion_Empresario	Poblacion_Funcionario	Poblacion_Trabajador_Cualificado	Poblacion_Trabajador_No_Cualificado	Vivienda_Propiedad	Vivienda_Alquiler	Medico_Seguro_Privado	Medico_Seguridad_Social	Ingresos_Mas_De_40000	Ingresos_De_20000_Hasta_40000	Ingresos_Hasta_20000
Z0138	73.42	26.58	0.0	60.27	25.38	14.35	20.42	61.21	0.0	18.37	100.0	0.0	0.0	100.0	0.0	0.0	100.0
Z0139	55.77	44.23	0.0	0.0	0.0	100.0	0.0	0.0	27.78	72.22	100.0	0.0	17.6	82.4	0.0	0.0	100.0
Z0141	55.23	44.77	0.0	19.09	0.0	80.91	22.94	0.0	19.72	57.34	84.62	15.38	22.33	77.67	0.0	0.0	100.0
Z0142	39.63	60.37	0.0	0.0	4.87	95.13	1.02	40.36	5.46	53.16	59.51	40.49	52.97	47.03	0.0	4.37	95.62
Z0144	68.9	13.65	17.46	0.0	42.44	57.56	0.0	35.2	64.8	0.0	0.0	100.0	32.19	67.81	0.0	0.0	100.0
Z0145	9.48	82.94	7.59	0.0	47.56	52.44	0.0	43.66	25.98	30.36	16.96	83.04	0.0	100.0	0.0	0.0	100.0
Z0146	0.0	0.0	100.0	0.0	20.23	79.77	52.32	0.0	0.0	47.68	43.47	56.53	6.39	93.61	0.0	0.0	100.0
Z0147	0.0	0.0	100.0	0.0	28.75	71.25	48.01	0.0	0.0	51.99	39.14	60.86	7.52	92.48	0.0	0.0	100.0
Z0148	63.88	15.28	20.84	0.0	45.13	54.87	18.4	27.0	35.2	19.4	40.99	59.01	11.34	88.66	0.0	0.0	100.0
Z0149	52.52	28.34	19.14	0.0	41.11	58.89	13.23	38.03	45.46	3.28	45.5	54.5	19.09	80.91	0.0	0.0	100.0
Z0150	100.0	0.0	0.0	0.0	56.01	43.99	0.0	0.0	39.42	60.58	0.0	100.0	18.54	81.46	0.0	0.0	100.0
Z0151	48.84	36.61	14.54	13.52	33.88	52.6	27.04	20.75	33.0	19.21	44.62	55.38	22.01	77.99	0.0	4.02	95.98
Z0152	91.67	1.54	6.78	20.95	29.68	49.37	21.15	14.38	32.31	32.16	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0153	73.16	20.09	6.75	15.94	34.37	49.68	13.41	20.62	28.97	36.99	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0154	50.77	9.35	39.88	5.01	3.88	91.11	13.42	22.6	28.73	35.25	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0155	71.54	0.0	28.46	0.0	0.0	100.0	0.0	0.0	44.25	55.75	0.0	100.0	2.45	97.55	0.0	0.0	100.0
Z0156	51.86	15.05	33.09	4.73	40.31	54.96	10.07	30.69	45.55	13.69	6.25	93.75	1.79	98.21	0.0	0.0	99.99
Z0157	43.6	51.2	5.2	14.01	20.68	65.31	22.92	30.94	20.66	25.48	4.94	95.06	11.87	88.13	0.0	0.0	100.01
Z0160	1.35	54.03	44.62	4.21	64.85	30.94	0.0	63.23	7.73	29.04	0.0	100.0	3.12	96.88	0.0	0.0	100.0
Z0161	26.26	41.19	32.55	0.0	45.28	54.72	0.0	53.89	46.11	0.0	16.85	83.15	0.0	100.0	0.0	0.0	100.0
Z0162	44.39	36.98	18.63	2.76	24.33	72.91	16.14	14.95	28.35	40.57	96.87	3.13	8.75	91.25	0.0	0.0	100.0
Z0163	32.16	36.33	31.51	17.98	39.85	42.16	54.0	16.58	0.0	29.42	18.08	81.92	57.37	42.63	0.0	0.0	100.0
Z0165	94.44	1.54	4.03	13.65	26.81	59.53	21.43	28.64	48.61	1.33	97.71	2.29	34.19	65.81	0.0	0.0	100.01
Z0167	33.49	31.79	34.72	28.5	38.27	33.23	28.78	0.0	0.0	71.22	0.0	100.0	8.71	91.29	0.0	0.0	100.0
Z0172	26.71	50.59	22.7	0.0	28.84	71.16	2.01	6.99	23.36	67.63	42.45	57.55	13.67	86.33	0.0	13.14	86.86
Z0173	0.0	15.57	84.43	0.0	43.75	56.25	1.09	45.37	33.58	19.96	0.0	100.0	16.66	83.34	0.0	5.94	94.06
Z0174	22.44	74.22	3.34	6.48	46.06	47.46	14.61	58.9	7.03	19.46	5.99	94.01	2.15	97.85	0.0	5.98	94.02
Z0176	42.36	38.57	19.07	27.46	52.68	19.86	29.23	46.31	7.87	16.59	38.97	61.03	54.25	45.75	7.28	7.27	85.45
Z0177	58.05	21.92	20.03	15.74	66.1	18.16	21.11	64.1	0.0	14.79	100.0	0.0	51.15	48.85	0.0	0.0	100.0
Z0180	59.04	2.28	38.67	0.0	0.0	100.0	0.0	39.7	0.0	60.3	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0181	36.14	19.09	44.77	0.0	0.0	100.0	0.0	21.71	0.0	78.29	0.0	100.0	0.0	100.0	0.0	0.0	99.99
Z0182	33.2	24.68	42.12	0.0	0.0	100.0	0.0	32.92	0.0	67.08	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0183	18.3	64.46	17.25	3.34	37.43	59.23	20.29	3.02	55.03	21.66	71.18	28.82	16.31	83.69	0.0	3.44	96.55
Z0184	80.11	12.43	7.47	0.0	32.44	67.56	0.0	17.13	12.59	70.27	0.0	100.0	20.57	79.43	0.0	0.0	100.0
Z0185	74.82	16.62	8.56	0.0	32.87	67.13	0.0	31.86	29.43	38.71	0.0	100.0	19.51	80.49	0.0	0.0	100.0
Z0186	49.25	43.63	7.12	0.0	33.67	66.33	0.0	32.89	29.15	37.96	0.0	100.0	15.93	84.07	0.0	0.0	100.0
Z0187	30.85	52.23	16.92	0.0	14.8	85.2	11.22	16.94	15.76	56.08	12.2	87.8	16.83	83.17	0.0	0.0	100.0
Z0192	38.34	32.08	29.58	0.0	58.86	41.14	11.3	17.89	5.0	65.81	78.85	21.15	20.96	79.04	0.0	0.0	100.0
Z0194	66.33	33.67	0.0	55.99	29.26	14.75	78.2	12.34	0.0	9.46	100.0	0.0	77.78	22.22	27.2	8.79	64.01
Z0195	98.43	1.57	0.0	0.0	42.59	57.41	1.63	29.93	52.14	16.3	0.0	100.0	15.42	84.58	0.0	38.94	61.05
Z0196	19.2	38.43	42.37	20.2	36.95	42.85	14.47	26.71	14.54	44.28	14.89	85.11	27.95	72.05	0.0	30.4	69.61
Z0197	67.89	0.0	32.11	35.93	19.8	44.27	33.06	35.88	17.47	13.59	0.0	100.0	15.1	84.9	0.0	0.0	100.0
Z0198	41.74	0.0	58.26	32.63	25.85	41.51	0.0	36.24	18.51	45.24	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0199	12.6	23.91	63.49	8.75	13.53	77.73	0.0	20.49	25.05	54.47	80.29	19.71	16.07	83.93	0.0	0.0	100.0
Z0200	19.79	16.83	63.37	8.6	7.94	83.46	0.0	0.0	56.97	43.03	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0201	16.69	13.05	70.25	4.31	14.48	81.21	0.0	0.0	53.74	46.26	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0202	23.1	27.4	49.51	7.14	73.96	18.9	0.0	43.52	25.37	31.11	18.66	81.34	0.0	100.0	0.0	3.6	96.41
Z0207	41.68	2.72	55.6	0.0	46.39	53.61	0.0	29.07	68.16	2.77	43.03	56.97	14.11	85.89	0.0	0.0	100.0
Z0210	55.35	17.68	26.97	0.0	13.02	86.98	0.0	0.0	35.64	64.37	100.0	0.0	0.0	100.0	0.0	0.0	100.0
Z0211	14.58	42.34	43.08	18.27	62.54	19.19	0.0	69.12	30.88	0.0	79.59	20.41	13.3	86.7	0.0	0.0	100.0
Z0213	35.74	59.44	4.82	2.85	63.07	34.09	1.77	86.16	6.24	5.83	91.84	8.16	56.79	43.21	0.0	8.09	91.91
Z0214	50.42	26.82	22.77	0.0	6.5	93.5	14.56	2.83	38.88	43.74	5.36	94.64	2.21	97.79	0.0	8.49	91.51
Z0215	36.29	42.25	21.46	19.94	19.38	60.69	44.32	0.0	55.68	0.0	53.69	46.31	31.45	68.55	0.0	4.69	95.31
Z0216	23.33	45.53	31.14	14.76	8.57	76.67	39.96	12.2	29.34	18.49	95.03	4.97	30.52	69.48	0.0	0.0	100.0
Z0218	66.65	16.92	16.43	0.0	45.36	54.64	0.0	47.3	47.2	5.5	93.28	6.72	8.82	91.18	0.0	44.02	55.98
Z0219	42.17	34.76	23.07	28.89	34.28	36.83	80.34	17.85	0.0	1.8	70.78	29.22	31.87	68.13	0.0	19.19	80.81
Z0220	42.32	36.88	20.8	31.69	31.56	36.76	66.25	17.71	0.0	16.03	54.69	45.31	32.78	67.22	0.0	9.22	90.77
Z0221	45.43	29.85	24.71	70.91	29.09	0.0	70.87	29.13	0.0	0.0	71.54	28.46	43.73	56.27	0.0	0.0	100.0
Z0223	31.08	52.6	16.33	29.95	38.92	31.13	35.3	28.64	13.08	22.98	34.75	65.25	56.06	43.94	0.0	25.67	74.33
Z0226	30.47	40.42	29.11	0.0	85.97	14.03	54.22	28.35	0.0	17.43	100.0	0.0	28.32	71.68	0.0	44.66	55.33
Z0228	45.1	39.82	15.07	0.0	44.02	55.98	0.0	18.61	33.12	48.27	100.0	0.0	53.8	46.2	0.0	0.0	100.0
Z0229	76.81	2.33	20.87	0.0	20.73	79.27	0.0	27.71	72.29	0.0	58.66	41.34	4.82	95.18	0.0	0.0	100.0
Z0230	22.89	59.92	17.2	42.05	57.95	0.0	100.0	0.0	0.0	0.0	31.31	68.69	83.84	16.16	0.0	14.27	85.73
Z0231	12.83	66.71	20.46	34.71	63.69	1.6	78.86	18.24	0.0	2.9	26.96	73.04	69.29	30.71	0.0	5.17	94.83
Z0233	45.94	30.87	23.19	33.38	27.8	38.81	51.71	32.2	0.0	16.09	96.43	3.57	21.11	78.89	7.58	3.24	89.18
Z0235	30.01	65.34	4.66	45.79	33.43	20.77	38.54	33.93	8.66	18.86	98.88	1.12	15.58	84.42	0.0	0.0	99.99
Z0236	69.08	30.92	0.0	0.0	57.62	42.38	32.55	0.0	67.45	0.0	100.0	0.0	34.4	65.6	0.0	0.0	100.0
Z0237	54.23	45.77	0.0	0.0	0.0	100.0	0.0	20.6	40.47	38.93	41.26	58.74	2.33	97.67	0.0	0.0	100.0
Z0239	90.78	5.43	3.79	1.24	42.59	56.18	3.34	11.55	0.0	85.11	2.27	97.73	6.97	93.03	0.0	0.0	100.0
Z0240	79.04	16.26	4.69	18.49	61.69	19.81	43.19	36.58	15.06	5.17	100.0	0.0	38.75	61.25	0.0	9.39	90.6
Z0241	72.11	27.89	0.0	0.0	0.0	100.0	0.0	21.96	64.69	13.35	11.43	88.57	16.82	83.18	0.0	0.0	100.0
Z0242	54.78	42.99	2.23	54.31	37.27	8.42	74.63	17.92	2.35	5.11	0.0	100.0	53.29	46.71	0.0	0.0	100.0
Z0245	92.35	7.65	0.0	5.81	15.24	78.95	9.3	24.0	45.2	21.5	26.1	73.9	15.67	84.33	0.0	8.57	91.43
Z0247	87.19	12.81	0.0	5.37	4.0	90.63	3.06	20.99	63.58	12.36	72.2	27.8	19.74	80.26	0.0	5.32	94.68
Z0248	78.23	21.77	0.0	3.25	17.55	79.19	6.46	36.87	29.7	26.97	41.47	58.53	14.19	85.81	0.0	7.52	92.47
Z0249	85.11	14.89	0.0	26.63	26.36	47.02	26.39	28.21	33.06	12.35	0.0	100.0	34.31	65.69	0.0	14.22	85.78
Z0250	83.86	16.14	0.0	32.14	44.54	23.33	7.56	59.17	27.46	5.81	100.0	0.0	43.38	56.62	0.0	5.91	94.08
Z0252	72.61	27.39	0.0	0.0	5.18	94.82	13.04	14.67	72.29	0.0	9.27	90.73	18.1	81.9	0.0	0.0	100.0
Z0253	66.05	33.95	0.0	0.0	35.38	64.62	0.0	19.55	68.59	11.86	100.0	0.0	0.0	100.0	0.0	0.0	100.0
Z0254	66.21	33.79	0.0	0.0	44.75	55.25	0.0	18.5	54.68	26.82	100.0	0.0	0.0	100.0	0.0	0.0	100.0
Z0255	69.94	30.06	0.0	5.36	18.21	76.43	3.33	35.36	47.09	14.22	48.18	51.82	14.38	85.62	0.0	1.99	98.01
Z0256	59.26	40.74	0.0	0.0	26.47	73.53	0.0	0.0	45.98	54.02	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0257	59.18	40.82	0.0	4.96	18.88	76.15	3.67	26.97	50.37	18.99	56.68	43.32	17.46	82.54	0.0	6.41	93.59
Z0258	53.5	46.5	0.0	41.08	2.78	56.13	4.4	38.37	26.61	30.62	0.0	100.0	29.63	70.37	0.0	10.28	89.72
Z0259	45.37	54.63	0.0	28.29	45.86	25.85	21.22	55.74	15.47	7.57	80.14	19.86	38.38	61.62	32.8	16.61	50.59
Z0260	14.57	85.43	0.0	0.0	0.0	100.0	0.0	0.0	53.25	46.75	0.0	100.0	0.0	100.0	0.0	0.0	100.0
Z0263	39.16	47.54	13.31	0.0	0.0	100.0	0.0	42.42	57.58	0.0	26.77	73.23	0.0	100.0	0.0	6.88	93.12
Z0264	19.16	39.12	41.72	6.07	93.93	0.0	6.5	85.45	3.53	4.51	21.26	78.74	14.02	85.98	0.0	39.26	60.74
Z0265	29.19	16.17	54.64	19.17	66.65	14.18	71.49	28.51	0.0	0.0	12.49	87.51	17.28	82.72	0.0	0.0	100.0
Z0266	0.0	16.08	83.92	20.45	13.31	66.23	8.54	19.42	0.0	72.04	0.0	100.0	6.1	93.9	0.0	0.0	100.0
Z0267	19.39	51.14	29.48	7.4	48.94	43.66	3.57	23.81	18.14	54.48	2.96	97.04	9.03	90.97	0.0	0.0	100.0
Z0269	16.59	42.3	41.11	22.39	43.32	34.29	34.71	18.55	15.02	31.71	84.53	15.47	47.75	52.25	0.0	4.94	95.06
Z0271	42.45	41.25	16.3	30.9	39.01	30.09	36.72	44.07	5.25	13.96	60.11	39.89	39.89	60.11	9.82	47.08	43.11
Z0274	53.45	44.53	2.02	5.78	30.22	63.99	33.22	39.28	9.23	18.27	84.6	15.4	11.98	88.02	1.1	39.84	59.06
Z0276	41.15	53.13	5.72	4.29	67.76	27.95	6.38	40.2	18.05	35.36	80.44	19.56	22.11	77.89	10.44	10.02	79.54
Z0277	42.0	55.98	2.02	27.82	39.94	32.24	4.66	39.49	11.57	44.29	77.49	22.51	19.57	80.43	7.99	19.96	72.03
Z0278	21.21	77.31	1.47	15.21	16.59	68.19	7.57	30.35	31.24	30.83	72.59	27.41	11.47	88.53	13.21	29.89	56.91
Z0279	31.09	56.25	12.66	19.96	23.62	56.43	14.53	30.39	12.65	42.42	70.07	29.93	19.99	80.01	9.05	14.78	76.17
Z0280	64.75	2.48	32.77	41.27	11.34	47.39	28.6	52.4	11.72	7.29	96.69	3.31	8.39	91.61	0.0	0.0	100.0
Z0281	30.64	65.04	4.31	0.0	28.43	71.57	8.07	49.45	28.38	14.1	31.19	68.81	45.64	54.36	0.0	0.0	100.0
